ts,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,cpu8,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo0_bytes_sent,lo0_bytes_recv,lo0_packets_sent,lo0_packets_recv,gif0_bytes_sent,gif0_bytes_recv,gif0_packets_sent,gif0_packets_recv,stf0_bytes_sent,stf0_bytes_recv,stf0_packets_sent,stf0_packets_recv,anpi1_bytes_sent,anpi1_bytes_recv,anpi1_packets_sent,anpi1_packets_recv,anpi0_bytes_sent,anpi0_bytes_recv,anpi0_packets_sent,anpi0_packets_recv,en3_bytes_sent,en3_bytes_recv,en3_packets_sent,en3_packets_recv,en4_bytes_sent,en4_bytes_recv,en4_packets_sent,en4_packets_recv,en1_bytes_sent,en1_bytes_recv,en1_packets_sent,en1_packets_recv,en2_bytes_sent,en2_bytes_recv,en2_packets_sent,en2_packets_recv,ap1_bytes_sent,ap1_bytes_recv,ap1_packets_sent,ap1_packets_recv,en0_bytes_sent,en0_bytes_recv,en0_packets_sent,en0_packets_recv,awdl0_bytes_sent,awdl0_bytes_recv,awdl0_packets_sent,awdl0_packets_recv,llw0_bytes_sent,llw0_bytes_recv,llw0_packets_sent,llw0_packets_recv,bridge0_bytes_sent,bridge0_bytes_recv,bridge0_packets_sent,bridge0_packets_recv,utun0_bytes_sent,utun0_bytes_recv,utun0_packets_sent,utun0_packets_recv,utun1_bytes_sent,utun1_bytes_recv,utun1_packets_sent,utun1_packets_recv,utun2_bytes_sent,utun2_bytes_recv,utun2_packets_sent,utun2_packets_recv,utun3_bytes_sent,utun3_bytes_recv,utun3_packets_sent,utun3_packets_recv,utun4_bytes_sent,utun4_bytes_recv,utun4_packets_sent,utun4_packets_recv,utun5_bytes_sent,utun5_bytes_recv,utun5_packets_sent,utun5_packets_recv,utun6_bytes_sent,utun6_bytes_recv,utun6_packets_sent,utun6_packets_recv,
1648115925.8957288,20.8,24.0,19.2,12.0,15.4,4.0,4.0,3.8,17179869184,3735797760,78.3,6540984320,70664192,3669721088,3419455488,46587141,24856748,760343539712,457161498624,13295071,1074253,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371277824,731995136,46336726,68586342,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115926.1496232,28.0,24.0,16.0,12.0,3.8,4.0,0.0,0.0,17179869184,3737468928,78.2,6538887168,69812224,3827712000,3421978624,46587141,24856748,760343539712,457161498624,13295071,1074253,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371277824,731995136,46336726,68586342,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115926.404107,30.8,24.0,26.9,23.1,4.0,0.0,0.0,0.0,17179869184,3739402240,78.2,6535512064,59998208,3642277888,3433725952,46587141,24856748,760343539712,457161498624,13295071,1074253,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371277824,731995136,46336727,68586342,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115926.658567,24.0,25.9,23.1,20.0,16.0,11.5,3.8,3.8,17179869184,3740205056,78.2,6536560640,62767104,3663052800,3431383040,46587143,24856790,760343547904,457162051584,13295072,1074254,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371277824,731996160,46336728,68586343,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115926.91607,29.6,20.0,16.0,19.2,11.5,4.0,0.0,0.0,17179869184,3742187520,78.2,6535102464,61603840,3736731648,3434528768,46587143,24856790,760343547904,457162051584,13295072,1074254,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371277824,731996160,46336728,68586343,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115927.1705449,16.0,20.0,16.0,15.4,0.0,0.0,0.0,0.0,17179869184,3744333824,78.2,6534152192,62144512,3735912448,3436118016,46587148,24856790,760343580672,457162051584,13295074,1074254,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371279872,731996160,46336731,68586344,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115927.4250681,23.1,23.1,19.2,12.5,3.8,0.0,0.0,0.0,17179869184,3729227776,78.3,6549225472,62160896,3673309184,3420995584,46587148,24856790,760343580672,457162051584,13295074,1074254,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371279872,731996160,46336731,68586346,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115927.6816618,23.1,19.2,23.1,22.2,0.0,0.0,0.0,0.0,17179869184,3728801792,78.3,6549880832,100515840,3634855936,3382214656,46587148,24856790,760343580672,457162051584,13295074,1074254,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371279872,731996160,46336731,68586346,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115927.937543,24.0,24.0,20.0,12.0,11.5,8.0,3.7,0.0,17179869184,3728441344,78.3,6549192704,100155392,3635871744,3382214656,46587148,24856790,760343580672,457162051584,13295074,1074254,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371279872,731996160,46336732,68586347,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115928.1951659,24.0,23.1,16.0,19.2,11.5,7.7,4.0,0.0,17179869184,3736633344,78.2,6540804096,117260288,3627122688,3373301760,46587148,24856790,760343580672,457162051584,13295074,1074254,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371279872,731996160,46336732,68586347,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115928.4500108,34.6,28.0,25.9,23.1,7.7,4.0,7.7,4.0,17179869184,3734700032,78.3,6541967360,116621312,3625943040,3372007424,46587148,24856790,760343580672,457162051584,13295074,1074254,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371280896,731996160,46336734,68586349,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115928.706402,28.0,37.0,28.0,19.2,19.2,18.5,16.0,15.4,17179869184,3748823040,78.2,6529073152,131973120,3624747008,3370762240,46587149,24856790,760343597056,457162051584,13295075,1074254,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371282944,731998208,46336741,68586355,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
1648115928.961867,28.0,24.0,15.4,12.0,4.0,4.0,3.7,3.7,17179869184,3757670400,78.1,6518702080,134938624,3810148352,3376644096,46587149,24856790,760343597056,457162051584,13295075,1074254,133849088,133849088,705572,705572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2371282944,731998208,46336745,68586359,5686272,11981824,16232,49478,0,0,0,0,0,0,0,0,16384,0,95,0,16384,0,95,0,16384,0,95,0,8192,8192,57,54,16384,0,95,0,2302976,28672,26416,404,0,0,8,0,
