1647877785.996296
1647877785.9963286
1647877785.996331
TS1:1647877820.1465251,TS6:1647877820.4440978,lat5:297.5726127624512
TS1:1647877822.5708098,TS6:1647877822.6429965,lat5:72.18670845031738
TS1:1647877822.5612028,TS6:1647877822.6462743,lat5:85.07156372070312
TS1:1647877822.599551,TS6:1647877822.6483657,lat5:48.81477355957031
TS1:1647877822.580371,TS6:1647877822.6526837,lat5:72.31283187866211
TS1:1647877822.6091146,TS6:1647877822.6542037,lat5:45.089006423950195
TS1:1647877822.5899625,TS6:1647877822.6566117,lat5:66.64919853210449
TS1:1647877822.6186795,TS6:1647877822.6649196,lat5:46.24009132385254
TS1:1647877822.6282508,TS6:1647877822.6767426,lat5:48.491716384887695
TS1:1647877822.6378393,TS6:1647877822.6820886,lat5:44.24929618835449
TS1:1647877822.6484325,TS6:1647877822.6852672,lat5:36.834716796875
TS1:1647877822.657878,TS6:1647877822.68977,lat5:31.892061233520508
TS1:1647877822.6674335,TS6:1647877822.6931791,lat5:25.745630264282227
TS1:1647877822.677016,TS6:1647877822.6967442,lat5:19.72818374633789
TS1:1647877822.686613,TS6:1647877822.7024717,lat5:15.858650207519531
TS1:1647877822.696178,TS6:1647877822.7066593,lat5:10.48135757446289
TS1:1647877822.7057707,TS6:1647877822.7149453,lat5:9.174585342407227
TS1:1647877822.715335,TS6:1647877822.724479,lat5:9.144067764282227
TS1:1647877822.7249155,TS6:1647877822.7349756,lat5:10.06007194519043
TS1:1647877822.7345407,TS6:1647877822.7433822,lat5:8.841514587402344
TS1:1647877822.7441046,TS6:1647877822.7546663,lat5:10.561704635620117
TS1:1647877822.7536654,TS6:1647877822.7657168,lat5:12.05134391784668
TS1:1647877822.7632077,TS6:1647877822.7735388,lat5:10.331153869628906
TS1:1647877822.7728066,TS6:1647877822.7829058,lat5:10.099172592163086
TS1:1647877822.782396,TS6:1647877822.8005798,lat5:18.18370819091797
TS1:1647877822.7919905,TS6:1647877822.8050833,lat5:13.092756271362305
TS1:1647877822.801576,TS6:1647877822.8119376,lat5:10.361671447753906
TS1:1647877822.811149,TS6:1647877822.8195949,lat5:8.445978164672852
TS1:1647877822.820747,TS6:1647877822.8295724,lat5:8.825540542602539
TS1:1647877822.8303502,TS6:1647877822.8390439,lat5:8.693695068359375
TS1:1647877822.8399792,TS6:1647877822.849281,lat5:9.301900863647461
TS1:1647877822.8494473,TS6:1647877822.862414,lat5:12.966632843017578
TS1:1647877822.858994,TS6:1647877822.8741663,lat5:15.172243118286133
TS1:1647877822.868558,TS6:1647877822.891659,lat5:23.101091384887695
TS1:1647877822.8781116,TS6:1647877822.9003499,lat5:22.23825454711914
TS1:1647877822.8877058,TS6:1647877822.9069138,lat5:19.20795440673828
TS1:1647877822.8972664,TS6:1647877822.9103224,lat5:13.056039810180664
TS1:1647877822.9068477,TS6:1647877822.9159074,lat5:9.059667587280273
TS1:1647877822.9163785,TS6:1647877822.9254837,lat5:9.105205535888672
TS1:1647877822.9259424,TS6:1647877822.9344327,lat5:8.490324020385742
TS1:1647877822.9355507,TS6:1647877822.9441473,lat5:8.596658706665039
TS1:1647877822.9451258,TS6:1647877822.9544384,lat5:9.312629699707031
TS1:1647877822.9547212,TS6:1647877822.9640472,lat5:9.325981140136719
TS1:1647877822.9642882,TS6:1647877822.973199,lat5:8.910655975341797
TS1:1647877822.973858,TS6:1647877822.98262,lat5:8.761882781982422
TS1:1647877822.983419,TS6:1647877822.9948657,lat5:11.446714401245117
TS1:1647877822.993018,TS6:1647877823.0035315,lat5:10.513544082641602
TS1:1647877823.002597,TS6:1647877823.0111644,lat5:8.567333221435547
TS1:1647877823.0121658,TS6:1647877823.0216541,lat5:9.488344192504883
TS1:1647877823.021754,TS6:1647877823.0301645,lat5:8.410453796386719
TS1:1647877823.0313284,TS6:1647877823.0398166,lat5:8.488178253173828
TS1:1647877823.040916,TS6:1647877823.0502312,lat5:9.315252304077148
TS1:1647877823.050519,TS6:1647877823.0637517,lat5:13.232707977294922
TS1:1647877823.060094,TS6:1647877823.070654,lat5:10.559797286987305
TS1:1647877823.0696402,TS6:1647877823.078548,lat5:8.907794952392578
TS1:1647877823.0792246,TS6:1647877823.090047,lat5:10.822296142578125
TS1:1647877823.0888162,TS6:1647877823.1000528,lat5:11.23666763305664
TS1:1647877823.0984154,TS6:1647877823.111289,lat5:12.873649597167969
TS1:1647877823.1080012,TS6:1647877823.1196342,lat5:11.632919311523438
TS1:1647877823.117568,TS6:1647877823.1298296,lat5:12.261629104614258
