ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,
1648116467.6790242,4.2,7.7,0.0,0.0,16780898304,15596867584,7.1,836902912,13497671680,1016692736,1914834944,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338497364,515202542,1739116,2269577,
1648116467.931174,0.0,8.0,0.0,0.0,16780898304,15596867584,7.1,836902912,13497671680,1016692736,1914834944,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338513116,515209562,1739189,2269653,
1648116468.1838646,0.0,3.8,0.0,0.0,16780898304,15597031424,7.1,836739072,13497835520,1016692736,1914834944,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338525806,515214943,1739249,2269715,
1648116468.4364367,0.0,4.2,0.0,0.0,16780898304,15597129728,7.1,836640768,13497933824,1016692736,1914834944,37831,566437,1327886336,7449048064,7816,558264,1370927,1370927,10164,10164,338543021,515222449,1739328,2269799,
1648116468.6884422,4.3,7.7,0.0,0.0,16780898304,15597105152,7.1,836665344,13497901056,1016700928,1914834944,37831,566521,1327886336,7451112448,7816,558363,1370927,1370927,10164,10164,338558678,515228428,1739395,2269866,
1648116468.941034,0.0,7.7,0.0,0.0,16780898304,15597105152,7.1,836665344,13497901056,1016700928,1914834944,37831,566521,1327886336,7451112448,7816,558363,1370927,1370927,10164,10164,338577825,515235986,1739475,2269950,
1648116469.1933627,4.3,0.0,0.0,0.0,16780898304,15597006848,7.1,836763648,13497802752,1016700928,1914834944,37831,566521,1327886336,7451112448,7816,558363,1370927,1370927,10164,10164,338593213,515243030,1739548,2270025,
1648116469.445747,0.0,11.1,0.0,0.0,16780898304,15597170688,7.1,836599808,13497966592,1016700928,1914834944,37831,566521,1327886336,7451112448,7816,558363,1370927,1370927,10164,10164,338609570,515249467,1739617,2270097,
1648116469.6991124,0.0,4.0,0.0,0.0,16780898304,15597105152,7.1,836665344,13497901056,1016700928,1914834944,37831,566521,1327886336,7451112448,7816,558363,1370927,1370927,10164,10164,338623465,515256421,1739674,2270176,
1648116469.9528503,4.3,0.0,0.0,0.0,16780898304,15597039616,7.1,836730880,13497835520,1016700928,1914834944,37831,566521,1327886336,7451112448,7816,558363,1370927,1370927,10164,10164,338639475,515263413,1739731,2270254,
1648116470.2065854,0.0,4.0,0.0,0.0,16780898304,15597006848,7.1,836763648,13497802752,1016700928,1914834944,37831,566521,1327886336,7451112448,7816,558363,1370927,1370927,10164,10164,338656057,515271042,1739789,2270339,
