ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,veth0546c36_bytes_sent,veth0546c36_bytes_recv,veth0546c36_packets_sent,veth0546c36_packets_recv,veth5b4aac4_bytes_sent,veth5b4aac4_bytes_recv,veth5b4aac4_packets_sent,veth5b4aac4_packets_recv,
1648116240.9531434,64.0,58.3,46.2,40.0,16780898304,13555671040,19.2,2876661760,4369846272,2105487360,9323823104,38930,3718735,1335300096,38930539520,8979,4603744,20015079,20015079,148379,148379,529245890,1831350059,893858,1962595,0,0,0,0,115347047,140687166,972180,995895,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,571808013,485412306,2132639,1369042,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,140928441,140790821,516083,548138,72166117,98917395,372405,572794,
1648116241.2048979,40.0,39.3,13.6,41.7,16780898304,13555965952,19.2,2876342272,4369436672,2105495552,9324576768,38930,3718742,1335300096,38930617344,8979,4603748,20015079,20015079,148379,148379,529246748,1831352095,893871,1962609,0,0,0,0,115357340,140701758,972280,996005,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,571870451,485466154,2132851,1369186,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,140989187,140855175,516303,548365,72198097,98960196,372574,573034,
1648116241.4570265,28.0,20.8,29.6,43.5,16780898304,13556228096,19.2,2876092416,4369362944,2105516032,9324888064,38930,3718747,1335300096,38930658304,8979,4603752,20015079,20015079,148379,148379,529247606,1831353717,893884,1962621,0,0,0,0,115364971,140712625,972354,996089,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,571921082,485509721,2133047,1369306,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141034742,140902594,516467,548532,72225788,98997499,372714,573257,
1648116241.7143345,34.8,36.0,33.3,56.0,16780898304,13556314112,19.2,2875977728,4368838656,2105524224,9325432832,38930,3718755,1335300096,38930756608,8979,4603757,20015079,20015079,148379,148379,529248794,1831356381,893902,1962639,0,0,0,0,115378261,140732250,972481,996239,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572007672,485584047,2133360,1369508,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141117240,140989593,516759,548847,72271064,99058973,372951,573605,
1648116241.9670637,24.0,20.8,26.9,65.4,16780898304,13556269056,19.2,2875990016,4368265216,2105548800,9325948928,38930,3718761,1335300096,38930838528,8979,4603761,20015079,20015079,148379,148379,529249850,1831358550,893918,1962655,0,0,0,0,115388816,140748368,972582,996367,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572079132,485645265,2133605,1369672,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141186693,141062355,517000,549106,72307283,99109480,373142,573886,
1648116242.219422,24.0,34.6,24.0,54.2,16780898304,13556400128,19.2,2875887616,4367699968,2105556992,9326649344,38930,3718769,1335300096,38930940928,8979,4603767,20015079,20015079,148379,148379,529250972,1831360997,893935,1962672,0,0,0,0,115401867,140767725,972708,996512,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572158666,485713901,2133872,1369856,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141265654,141145506,517284,549404,72348358,99165599,373361,574193,
1648116242.4768715,30.8,24.0,40.0,52.0,16780898304,13556617216,19.2,2875629568,4367474688,2105569280,9327079424,38930,3718774,1335300096,38930990080,8979,4603770,20015079,20015079,148379,148379,529251962,1831363029,893950,1962687,0,0,0,0,115411774,140782620,972803,996628,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572223455,485769712,2134104,1370008,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141327350,141210583,517501,549638,72382459,99211909,373541,574457,
1648116242.728948,32.0,29.2,65.2,24.0,16780898304,13556760576,19.2,2875535360,4366950400,2105585664,9327955968,38930,3718782,1335300096,38931084288,8979,4603775,20015079,20015079,148379,148379,529253282,1831365889,893970,1962707,0,0,0,0,115425843,140803307,972938,996787,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572313142,485847373,2134414,1370218,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141413936,141301620,517807,549964,72429772,99275641,373790,574810,
1648116242.9835896,28.0,25.0,42.3,34.8,16780898304,13556580352,19.2,2875748352,4366159872,2105593856,9328570368,38930,3718787,1335300096,38931129344,8979,4603778,20015079,20015079,148379,148379,529254404,1831368197,893987,1962724,0,0,0,0,115436543,140819314,973040,996913,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572381504,485906525,2134651,1370378,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141479854,141370997,518040,550213,72465798,99324489,373979,575084,
1648116243.2351718,24.0,35.7,56.5,20.0,16780898304,13556707328,19.2,2875600896,4365701120,2105618432,9329143808,38930,3718796,1335300096,38931248128,8979,4603785,20015079,20015079,148379,148379,529255526,1831370633,894004,1962741,0,0,0,0,115448679,140836925,973157,997047,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572460117,485974726,2134932,1370564,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141554245,141448804,518305,550489,72507883,99380921,374197,575403,
1648116243.4870586,25.0,24.0,40.0,42.3,16780898304,13556068352,19.2,2876198912,4364652544,2105630720,9329803264,38930,3718801,1335300096,38931293184,8979,4603789,20015079,20015079,148379,148379,529256450,1831372528,894018,1962755,0,0,0,0,115458012,140850709,973247,997153,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572520437,486026484,2135147,1370704,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141612122,141509252,518512,550703,72539236,99424200,374361,575651,
1648116243.7397795,32.0,60.0,51.9,18.2,16780898304,13556060160,19.2,2876231680,4364070912,2105638912,9330368512,38930,3718809,1335300096,38931391488,8979,4603794,20015079,20015079,148379,148379,529257572,1831375064,894035,1962772,0,0,0,0,115469984,140868425,973360,997289,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572598305,486093416,2135424,1370886,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141686129,141587456,518771,550985,72580152,99479503,374575,575960,
1648116243.9920301,20.8,36.0,61.5,20.8,16780898304,13555482624,19.2,2876780544,4362989568,2105655296,9331093504,38930,3718814,1335300096,38931436544,8979,4603797,20015079,20015079,148379,148379,529258628,1831377222,894051,1962788,0,0,0,0,115481537,140885076,973474,997416,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572672948,486157777,2135671,1371056,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141759772,141663909,519029,551252,72617967,99531666,374775,576241,
1648116244.2437625,45.8,34.6,41.7,20.8,16780898304,13555740672,19.2,2876575744,4362514432,2105671680,9331806208,38930,3718823,1335300096,38931559424,8979,4603803,20015079,20015079,148379,148379,529259882,1831379928,894070,1962807,0,0,0,0,115494724,140903539,973602,997555,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572751937,486226532,2135954,1371246,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141835619,141742646,519313,551531,72660852,99589117,374997,576572,
1648116244.4965348,26.1,20.8,63.6,20.8,16780898304,13555593216,19.2,2876694528,4361998336,2105679872,9332166656,38930,3718828,1335300096,38931608576,8979,4603806,20015079,20015079,148379,148379,529260740,1831381681,894083,1962820,0,0,0,0,115504456,140918332,973697,997669,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572814253,486279994,2136164,1371388,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141897494,141807659,519533,551764,72692231,99632869,375164,576813,
1648116244.7483153,60.0,20.8,23.1,29.2,16780898304,13555118080,19.2,2877177856,4360990720,2105688064,9333112832,38930,3718836,1335300096,38931702784,8979,4603812,20015079,20015079,148379,148379,529261730,1831383847,894098,1962835,0,0,0,0,115515118,140933932,973799,997787,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572882845,486339170,2136404,1371548,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,141963516,141877333,519767,552017,72728235,99681227,375353,577079,
1648116245.0000372,41.7,38.5,17.4,40.7,16780898304,13555519488,19.2,2876768256,4360941568,2105712640,9333596160,38930,3718841,1335300096,38931747840,8979,4603816,20015079,20015079,148379,148379,529263092,1831385785,894113,1962850,0,0,0,0,115523464,140945857,973879,997880,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,572938244,486388670,2136615,1371682,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,142017816,141930077,519953,552207,72758903,99724231,375511,577323,
1648116245.2521362,54.2,38.5,28.0,34.8,16780898304,13556129792,19.2,2876149760,4360941568,2105729024,9333276672,38930,3718847,1335300096,38931829760,8979,4603821,20015079,20015079,148379,148379,529264148,1831388086,894129,1962866,0,0,0,0,115535459,140964321,973995,998019,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,573017032,486453801,2136889,1371858,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,142091070,142011356,520218,552493,72797709,99777084,375716,577628,
1648116245.504269,13.0,25.9,16.0,37.5,16780898304,13555777536,19.2,2876493824,4360384512,2105729024,9333460992,38930,3718853,1335300096,38931842048,8979,4603824,20015079,20015079,148379,148379,529264610,1831389028,894136,1962873,0,0,0,0,115540667,140971367,974046,998075,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,573048215,486479680,2137012,1371928,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,142120775,142042370,520331,552612,72813314,99799306,375797,577761,
1648116245.7572541,32.0,52.0,20.0,42.3,16780898304,13556273152,19.2,2876006400,4360388608,2105745408,9333952512,38930,3718859,1335300096,38931936256,8979,4603828,20015079,20015079,148379,148379,529265666,1831391326,894152,1962889,0,0,0,0,115552162,140987870,974157,998199,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,573121356,486542553,2137271,1372098,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,142190945,142115815,520580,552872,72851639,99851368,375999,578054,
1648116246.0104768,21.7,20.8,21.7,70.8,16780898304,13556346880,19.2,2875904000,4359917568,2105753600,9334525952,38930,3718867,1335300096,38932022272,8979,4603839,20015079,20015079,148379,148379,529266854,1831393751,894170,1962907,0,0,0,0,115563257,141003616,974264,998320,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,573194819,486606841,2137556,1372272,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,142260251,142186936,520820,553140,72891330,99904764,376205,578357,
1648116246.2630465,37.5,47.8,26.9,52.0,16780898304,13556277248,19.2,2875973632,4359110656,2105769984,9335255040,38930,3718872,1335300096,38932067328,8979,4603842,20015079,20015079,148379,148379,529268174,1831396594,894190,1962927,0,0,0,0,115577600,141025362,974401,998488,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,573285999,486684694,2137857,1372484,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,142347652,142281451,521135,553476,72938766,99968168,376454,578705,
1648116246.5159228,20.8,26.9,52.2,21.7,16780898304,13556383744,19.2,2875924480,4358705152,2105769984,9335771136,38930,3718881,1335300096,38932190208,8979,4603849,20015079,20015079,148379,148379,529269230,1831398760,894206,1962943,0,0,0,0,115588249,141039945,974506,998598,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,573350537,486741780,2138075,1372640,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,142409958,142346066,521361,553703,72974290,100014309,376639,578956,
1648116246.7685359,30.4,32.0,65.2,29.2,16780898304,13556383744,19.2,2875871232,4358180864,2105794560,9336258560,38930,3718886,1335300096,38932247552,8979,4603852,20015079,20015079,148379,148379,529270484,1831401478,894225,1962962,0,0,0,0,115601739,141059572,974636,998748,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,573436052,486814475,2138379,1372836,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,142492604,142433331,521655,554022,73018003,100074460,376871,579291,
1648116247.0206182,44.0,25.9,46.4,28.0,16780898304,13556453376,19.2,2875834368,4357529600,2105819136,9337200640,38930,3718894,1335300096,38932333568,8979,4603857,20015079,20015079,148379,148379,529271606,1831403747,894242,1962979,0,0,0,0,115613933,141078339,974754,998893,26147123,0,119499,0,26150580,3812,119545,45,26909432,1275642,125512,4899,573516168,486882725,2138659,1373018,27963699,14415,119711,224,26145676,0,119490,0,32282679,5095157,143768,25330,142570652,142516528,521929,554330,73058456,100130233,377087,579598,
