ts,cpu1,cpu2,cpu3,cpu4,total,available,percent,used,free,active,inactive,read_count,write_count,read_bytes,write_bytes,read_time,write_timelo_bytes_sent,lo_bytes_recv,lo_packets_sent,lo_packets_recv,ens3_bytes_sent,ens3_bytes_recv,ens3_packets_sent,ens3_packets_recv,docker0_bytes_sent,docker0_bytes_recv,docker0_packets_sent,docker0_packets_recv,br-e6ac0c9a60bf_bytes_sent,br-e6ac0c9a60bf_bytes_recv,br-e6ac0c9a60bf_packets_sent,br-e6ac0c9a60bf_packets_recv,vethc2e4129_bytes_sent,vethc2e4129_bytes_recv,vethc2e4129_packets_sent,vethc2e4129_packets_recv,vethf3e70a1_bytes_sent,vethf3e70a1_bytes_recv,vethf3e70a1_packets_sent,vethf3e70a1_packets_recv,vethe5e057b_bytes_sent,vethe5e057b_bytes_recv,vethe5e057b_packets_sent,vethe5e057b_packets_recv,veth5ac51d4_bytes_sent,veth5ac51d4_bytes_recv,veth5ac51d4_packets_sent,veth5ac51d4_packets_recv,veth26967c2_bytes_sent,veth26967c2_bytes_recv,veth26967c2_packets_sent,veth26967c2_packets_recv,vethdda59fb_bytes_sent,vethdda59fb_bytes_recv,vethdda59fb_packets_sent,vethdda59fb_packets_recv,veth13e81f4_bytes_sent,veth13e81f4_bytes_recv,veth13e81f4_packets_sent,veth13e81f4_packets_recv,vetha3f20d0_bytes_sent,vetha3f20d0_bytes_recv,vetha3f20d0_packets_sent,vetha3f20d0_packets_recv,vethe7b3f9d_bytes_sent,vethe7b3f9d_bytes_recv,vethe7b3f9d_packets_sent,vethe7b3f9d_packets_recv,
1648022672.065128,0.0,0.0,0.0,4.0,16780898304,13995798528,16.6,2436571136,6175870976,1943883776,7756533760,26406,2945142,1163705344,29802013696,6476,3545040,18428166,18428166,139799,139799,128272190,1800736987,540062,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872323,61703040,341691,188766,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62920,25047,345,314,
1648022672.3178725,4.0,3.8,0.0,0.0,16780898304,13995798528,16.6,2436571136,6175870976,1943883776,7756533760,26406,2945142,1163705344,29802013696,6476,3545040,18428166,18428166,139799,139799,128272190,1800736987,540062,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872323,61703040,341691,188766,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62920,25047,345,314,
1648022672.5707889,0.0,0.0,0.0,0.0,16780898304,13995814912,16.6,2436554752,6175887360,1943883776,7756525568,26406,2945142,1163705344,29802013696,6476,3545040,18428166,18428166,139799,139799,128272190,1800736987,540062,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872323,61703040,341691,188766,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62920,25047,345,314,
1648022672.8238137,0.0,0.0,3.8,0.0,16780898304,13995806720,16.6,2436562944,6175879168,1943879680,7756533760,26406,2945142,1163705344,29802013696,6476,3545040,18428166,18428166,139799,139799,128272343,1800736987,540063,1663446,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872323,61703040,341691,188766,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,62920,25047,345,314,
1648022673.076723,0.0,3.8,0.0,4.0,16780898304,13995532288,16.6,2436837376,6175604736,1943883776,7756574720,26406,2945142,1163705344,29802013696,6476,3545040,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022673.3288085,0.0,0.0,0.0,0.0,16780898304,13995274240,16.6,2437095424,6175346688,1943883776,7756574720,26406,2945142,1163705344,29802013696,6476,3545040,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022673.5817602,0.0,0.0,0.0,3.8,16780898304,13995667456,16.6,2436702208,6175739904,1943879680,7756611584,26406,2945142,1163705344,29802013696,6476,3545040,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022673.8338068,0.0,3.8,0.0,0.0,16780898304,13995806720,16.6,2436562944,6175879168,1943879680,7756587008,26406,2945142,1163705344,29802013696,6476,3545040,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022674.0865717,0.0,4.0,3.8,0.0,16780898304,13995556864,16.6,2436812800,6175629312,1943875584,7756578816,26406,2945142,1163705344,29802013696,6476,3545040,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
1648022674.3393807,0.0,0.0,0.0,0.0,16780898304,13995556864,16.6,2436812800,6175629312,1943875584,7756578816,26406,2945142,1163705344,29802013696,6476,3545040,18428166,18428166,139799,139799,128272475,1800737343,540065,1663450,0,0,0,0,37964391,32550243,252239,210192,16904731,0,77371,0,16908258,3812,77418,45,16913591,4946,77399,37,82872639,61703396,341695,188768,18721377,14415,77584,224,16903259,0,77362,0,20353279,1211606,88914,12729,78247109,64103781,308853,256154,63276,25363,347,318,
